ISO2;country_name;Speech_title;URL_text;URL_link;Date_m;speech_stance
EA;Euro Area;Benoît Cœuré: The new frontier of payments and market infrastructure: on cryptos, cyber and CCPs;https://www.bis.org/review/r181115a.htm;https://www.bis.org/review/r181115a.htm;01/11/2018;0
ZA;South Africa;François Groepe: Fintech - reflections on the phenomenon and its future potential;https://www.bis.org/review/r181128a.htm;https://www.bis.org/review/r181128a.htm;01/11/2018;0
KW;Kuwait;Mohammad Y Al-Hashel: Steering fintech for a prosperous society;https://www.bis.org/review/r181130f.htm;https://www.bis.org/review/r181130f.htm;01/11/2018;1
BE;Belgium;Jan Smets: Central banks and money - an everchanging interplay;https://www.bis.org/review/r181220k.htm;https://www.bis.org/review/r181220k.htm;01/11/2018;0
AE;United Arab Emirates;"Mubarak Rashed Al Mansoori: ""Blockchain &amp;amp; Financial Inclusion""";https://www.bis.org/review/r191008j.htm;https://www.bis.org/review/r191008j.htm;01/12/2018;1
CN;China;Yi Gang: Deepen reform and opening-up comprehensively. Create new prospects for financial sector;https://www.bis.org/review/r181220h.htm;https://www.bis.org/review/r181220h.htm;01/12/2018;0
SG;Singapore;Ong Chong Tee: The post-crisis financial landscape - what next?;https://www.bis.org/review/r181221c.htm;https://www.bis.org/review/r181221c.htm;01/12/2018;0
BA;Bosnia and Herzegovina;"Senad Softić: Monetary policy,"" economic integration and """"the new normal"""" - what it means for integrating small economies?";https://www.bis.org/review/r190114c.htm;https://www.bis.org/review/r190114c.htm;01/01/2019;0
NO;Norway;Øystein Olsen: Economic perspectives;https://www.bis.org/review/r190215d.htm;https://www.bis.org/review/r190215d.htm;01/02/2019;1
BS;The Bahamas;John A Rolle: The Bahamian payment system modernisation - advancing financial inclusion initiatives;https://www.bis.org/review/r190321a.htm;https://www.bis.org/review/r190321a.htm;01/03/2019;1
EA;Euro Area;"Yves Mersch: Remarks at the ""Challenges in Understanding the Monetary Transmission Mechanism"" conference";https://www.bis.org/review/r190325b.htm;https://www.bis.org/review/r190325b.htm;01/03/2019;-1
TH;Thailand;Veerathai Santiprabhob: The Thai economy - the current state and the way forward;https://www.bis.org/review/r190328d.htm;https://www.bis.org/review/r190328d.htm;01/03/2019;1
LT;Lithuania;Vitas Vasiliauskas: Central bank digital currencies;https://www.bis.org/review/r190527b.htm;https://www.bis.org/review/r190527b.htm;01/05/2019;0
